text,label
get fcuk page ckhead,0
fukking retardo racisto kanuck,0
tard,0
supermarioman think hot correct vandalism wikipedia,0
banana shall pay,0
big pee pee,0
romanian american problem list romanian american wanted cited source found remove people warn vandalism interest stop june,0
hello safesubst basepagename welcome wikipedia safesubst ifeq safesubst yesno yes grazie special contribution safesubst basepagename contribution safesubst especially hope like city decide leave soon link page might find helpful getting knotted introduction stinking wikipedia five pillar wikipedia interesting stuff one sexiest woman ever destroy page develop article make joke first article simplified manual disaster please support cause sign message talk page typing sixteen tilde automatically insert middle finger date birth include custard sausage need psychiatric help check wikipedia question ask safesubst talk page talk page lick backside page place question bugger,0
ger nig ger,0
take liberty calling fagt second time sir,0
