text,true_label,predicted_label,confidence,true_prob
ethnic hatred largely due han chinese even minority hui muslim successful tibetan complained complain country invaded almost year ago poorest tibetan rioting middle class two western reporter interviewed resident came conclusion maybe research topic speaking know pro tibet probably buddhist really giving pro tibet people bad name biased garbage,0,1,0.58396703,0.416033
really come crossmr threatens anyone remove comment ban hmmm,1,0,0.78203624,0.21796373
paid po,1,0,0.98545027,0.014549704
big difference stupid thing falsely put keyboard quote explains difference text ebay actual logo like ebay also distinction lame text ebay used styled ebay late,1,0,0.9866859,0.013314156
dogged pride something like meh come go like tide whaaat bipolar god come deviant anti intellectual,1,0,0.9918515,0.008148476
good lord could discussion pissably sic stop lower get grip folk try remember writing encyclopedia seeing piss furthest talk,1,0,0.9930831,0.006916816
hello everyone gay xxxxx love simply south,1,0,0.99794465,0.0020553821
sorry term fappers meaning people enjoy masturbating said material flapper would suggest bit dated twenty ish maybe instead say undue bias given offended pornographic material begin showing page average person generally elicits either offense general believe wikipedia case show someone else primetech,0,1,0.9806291,0.019370949
would seem gamaliel joehazelton fixation wake joehazelton yet gamaliel goethean forget one million people live country think one edits contrary highly partisan nutball joehazelton wikipedia joke btw know live across street goethean know scary nut job hope shoot school shopping mall,1,0,0.99457645,0.005423506
hey buddy real world graffiti subculture famous know borf love generatin,0,1,0.99890864,0.0010913096
hate srk tell first sir fine got minor thingy regarding link even bother check work bad abit spewing venom going page visit finding fault everything tell srk hater sallu fan also,1,0,0.9801128,0.019887261
would find wikipedia less festering cesspit rest admin corp would stop blaming victim deal root cause editor show nowhere attack reason,1,0,0.98984027,0.010159815
fagin better comparison life poorly compensated labour others exploit child careful reputation encourages theft wale make living unpaid poorly paid labour others including child careful encourage claim founder wikipedia give lecture overcompensated due people misunderstanding role others including fagin one involved last year wikimania responsible prominent display stolen photograph photographed pulling face way taunting slater fagin also consorted murderer whilst wale consort murderous regime,1,0,0.97744715,0.022552889
scarcity source jewish paper spoke week scandal profiled naseum year work israeli govt politician others inc magazine publishes prestigious list private company every year firm list year row stop blatant lie,0,1,0.9988656,0.001134398
september vandalized date vandalized know one kagome trace john newfoundland address go location home address reveal want make hard kagome left choice noticed many article vandalized sick kagome saying grow please stop acting like child get worse trouble law,1,0,0.97838026,0.021619689
get get award based many article delete bronze star congrats band crappy myspace band silver think nail end tonight,1,0,0.9544941,0.045505803
please stop smug supply real answer concerning ban,0,1,0.9989317,0.0010683262
remove furry lewis myspace link guess thats promoting furry lewis myspace page remove link furry lewis prormoting guy really full youselfs,0,1,0.992945,0.0070549576
manage play nicer others hear say thing somebody told effective way communicate adult whatever want reply humor disdain somebody threatening threatening kick as place might want consider sometime however intelligent adult respond better short hand jab bro pushing lay guy little know talking newbie like mon smarmy kindergarten talk making thing worse sure comment blamed attitude problem condescending groper yeah thanks advice glad good record wikipedia get speech snot nosed wannabe cop kill place anything exactly end reading talk page anyway perhaps key report guy interesting,1,0,0.9734677,0.026532242
blocked edit warring negative comment user talk page bad enough liar hate monger simply unacceptable personally involved intend back claim probably pertinent verify,1,0,0.88964665,0.11035342
suspicious mass edits administrator following spylab editing anybody tell gave right guy pseudonym spylab behave like master wikipedia deleting comment uploaded yesterday ignoring comment user despite fact based wikipedia policy according cannot introduce mass change entry without generating discussion first talk page change suggested evidence produced user show lied said simple copy editing shown deleted sentence distorted meaning phrase simply clue inclusive democracy project despite come back adding deleting organizing entry anybody appointed damaging work far enhancing significance wikipedia creates impression ignoramus whatever like long established entry,0,1,0.97177,0.02823004
vince fyi yellowfrogs longdendale councillor sean parker perry frequent purveyor greenwash four square behind destruction swallow wood via support bypass vigourously editing wikpedia page longdendale bypass roy oldham page order boost fake green credential obfuscate neutrality article get nasty get pissed threatens spurious legal action fortunately legally illiterate put,1,0,0.6480549,0.35194513
shoulder block repeating clothesline spin powerbomb knuckle shuffle stfu,1,0,0.991462,0.008538011
sure son one moslem woman raped ranchi prison hindu sikh soldier though reality never come difficult think muslim woman lived prison year also bore child hindu sikh soldier,0,1,0.9448761,0.055123873
yes noticed always gratifing know succeeded enraging crackpot troll content perverter using nothing fact consistent rational reasoning point view threat worthy hysterical ordinated hominem attack still help feeling little pity someone obviously thoroughly screwed easy live level festering anger chewing away inside apr utc,0,1,0.893725,0.106275074
man deserves another shot becoming federal judge given hard work since coming america dirty democrat right gripe john robert sam alito two white guy man remember reading complaint dirty democrat liberal latino voter bush failing nominating hispanic supreme court thought well hell miguel estrada schmuck man received unanimous well qualified rating american bar association yet democrat filibustered claim provide enough information view think really bothered fact conservative hispanic go show dirty democrat really whenever black hispanic step line espousing conservatism,1,0,0.9783723,0.02162773
sound like plan thanks tip say anyone wiki gay nothing gay page watched like hawk queen redvers treasure hoping going implode year friend making change napping wimbledon snoozin bay promise taataa see hour maybe,1,0,0.8690966,0.13090344
gay theology heresy period comparing christian traditionalism sexual issue people blow believe using sword shear ignorance traditionalist catholic regard liberal christian really nothing secularist christian drag see fault anything done except dissenting left wing groupthink wikipedia lefty allowed edit wikipedia perhaps scared people share pov say grow studied theology year say liberal clue christ meant everything twist scripture agree ego thing liberal christian liberal,1,0,0.9579435,0.04205644
guy going anything bletch going sit around hope revert block well,1,0,0.976556,0.02344397
