text,label
wiki hounding anti catholic agenda action fly stop trying carry campaign blood libel know method dealing understand stop poisoning well,1
gandhi hated jew think mentioned gandhi hated jew well known raving anti semite mentioned article obviously written favor gandhi tagged npov earlcampbell,1
cancer scary hibakusya became old cancer break recurrence metastasis sporadically many place body fact four time present doctor shima discovers cancer extremely early save life,1
give page free speech communist,1
care ongoing attack user connected project afl destroy football wikipedia cannot silence merely showing pawn wiki lawyering,1
qualifies say cut crap tell qualified say instead trying pretend authority say please give reasoning statement help make constructive edits,1
amber taylor forever amber taylor forever,1
thanks warning difference apersonal attack demonstrated factually via formal logic know think pushing around started attack page intimating ignorant fact ignorant fact ignorant attack ignorant constitutes proof voting actually reading source reference provided start reading source reference provided get back threaten tell think turn anything say logical argument making personal attack,1
seen editor eric elephant room issue baiting poking bear whatever hell want call passive aggressive baiting one want touch one even though uncivil hell appears tactic choice whenever someone want get rid someone get way part saddens darkness,1
megalomania stated mental illness personality trait impulsive behaviour emotional sadism really fail see allowed make comment personality matter obvious,1
